tw,ch,en
實質及嚴重的不公平情況,实质及严重的不公平情况,substantial and grave injustice
犯罪意圖,犯罪意图,guilty intent
無犯罪意圖的管有,无犯罪意图的管有,innocent possession
教導所令,教导所令,training centre order
自願供認,自愿供认,voluntary confession
被告人,被告人,defendant
偏離指引行事,偏离指引行事,departure from the guideline
犯下多項罪行,犯下多项罪行,multiplicity of offences
傳喚他人作證,传唤他人作证,call and give evidence
精神狀況,精神状况,mental condition
呈述的法律問題,呈述的法律问题,stated question of law
經同意而作出的行為,经同意而作出的行为,consensual conduct
在未經宣誓下所提供的證據,在未经宣誓下所提供的证据,unsworn evidence
正式的申請,正式的申请,substantive application
協從一方,协从一方,secondary party
量刑取向,量刑取向,sentencing approach
短暫、嚴峻、震驚的刑罰,短暂、严峻、震惊的刑罚,"short, sharp, shock treatment"
罪案重演的錄像證據,罪案重演的录像证据,video reconstruction evidence
證明案件無合理疑點,证明案件无合理疑点,prove a case beyond reasonable doubt
向自己作出提醒,向自己作出提醒,remind oneself
證實知情的直接證據,证实知情的直接证据,direct evidence of knowledge
援引案例,援引案例,citation of case
可具有採取適當行動的權力的人,可具有采取适当行动的权力的人,person who may have power to take appropriate action
法律論據,法律论据,legal basis
公事保密,公事保密,official secrecy
串謀非法禁錮,串谋非法禁锢,conspiracy to commit false imprisonment
司法評論,司法评论,judicial comment
欺騙手段,欺骗手段,deception
和疑犯一起供辨認的人,和疑犯一起供辨认的人,actor in identification parade
不能認出嫌疑人,不能认出嫌疑人,negative identification
不自覺的狀態,不自觉的状态,state of automatism
司法人員培訓委員會標準指引,司法人员培训委员会标准指引,standard Judicial Studies Board direction
就證據所作的裁斷,就证据所作的裁断,evidential finding
不服命令的上訴,不服命令的上诉,appeal against ... order
從犯,从犯,accessories
傳召證人出庭令,传召证人出庭令,subpoenas
上訴文件冊,上诉文件册,appeal bundles
無犯罪意圖的管有,无犯罪意图的管有,innocent possession
較輕微罪行的裁決,较轻微罪行的裁决,lesser verdict
身分,身分,persona
確立表面的案,确立表面的案,establish a prima facie case
量刑指引,量刑指引,sentencing tariff
會導致入罪的證據,会导致入罪的证据,incriminating evidence
侮辱或不檢的行為,侮辱或不检的行为,insulting or disorderly conduct
同案被控人,同案被控人,co-accused
判刑指引,判刑指引,sentencing guideline
以合理的努力作為免責辯護,以合理的努力作为免责辩护,defence of reasonable diligence
令誠信成疑,令诚信成疑,discredited
令人反感的內容,令人反感的内容,offending material
弱智人士,弱智人士,mentally handicapped person
移審令,移审令,order of certiorari
性格失常,性格失常,disorder ... of personality
享有特權和備受信任的地位,享有特权和备受信任的地位,privileged and trusted position
法例條文,法例条文,statutory provision
在上訴裁決前所服刑期作廢,在上诉裁决前所服刑期作废,loss of time
圈套,圈套,entrapment
實質命令,实质命令,substantive order
誠實地相信,诚实地相信,honest belief
否認控罪,否认控罪,plea of not guilty
犯罪意念,犯罪意念,guilty mind
非宗教式保密宣誓,非宗教式保密宣誓,affirmation of secrecy
因認罪而減刑,因认罪而减刑,discount for guilty plea
拘捕人員,拘捕人员,arresting officer
辯解或解釋,辩解或解释,excuse or explanation
即時監禁刑罰,即时监禁刑罚,immediate custodial sentence
復還財產的命令,复还财产的命令,order for the restitution of property
犯罪意圖,犯罪意图,guilty intent
以不在犯罪現場為辯護,以不在犯罪现场为辩护,defence of alibi
誘導性問題,诱导性问题,leading question
中期上訴,中期上诉,intermediate appeal
較輕的判刑選擇,较轻的判刑选择,softer option
控方律師,控方律师,prosecuting counsel
判刑多少,判刑多少,quantum of sentence
排期,排期,listing
修訂……控罪,修订……控罪,amend ... charge
在相對可能性下,在相对可能性下,balance of probabilities
行事手法,行事手法,modus operandi
覆核刑罰,复核刑罚,review of sentence
判刑證明書,判刑证明书,certificate of sentences
違反遞解離境令,违反递解离境令,breach of deportation order
終結規則,终结规则,finality rule
出庭,出庭,appearance
聽取證供,听取证供,receive evidence
定罪是否恰當問題,定罪是否恰当问题,propriety of conviction
反向的舉證責任,反向的举证责任,reverse burden
以案件呈述方式上訴,以案件呈述方式上诉,appeal by way of case stated
“法律不問瑣事”的原則,“法律不问琐事”的原则,de minimis principle
陪審團的裁決,陪审团的裁决,jury verdict
庭上辨認犯人欄內的被告,庭上辨认犯人栏内的被告,dock identification
附帶爭論點,附带争论点,collateral issue
附屬事項,附属事项,collateral issue
以聲稱擁有權利作為辯護,以声称拥有权利作为辩护,defence of claim of right
不相稱的懲罰,不相称的惩罚,disproportionate punishment
新訂罪行不具追溯力的原則,新订罪行不具追溯力的原则,rule against retrospective incrimination
互相矛盾的事實陳述,互相矛盾的事实陈述,contradictory statements of fact
多次犯入屋犯法罪,多次犯入屋犯法罪,multiple burglaries
警誡人員,警诫人员,cautioning officer
以口頭方式……提供證據,以口头方式……提供证据,give evidence ... viva voce
混合口供,混合口供,mixed statement
集團式犯罪活動,集团式犯罪活动,syndicated criminal activity
非自願作出的供詞,非自愿作出的供词,involuntary statement
常規規則,常规规则,rule of practice
沒有悔意,没有悔意,absence of remorse
特定犯罪意圖,特定犯罪意图,specific intent
確當因由,确当因由,just cause
文件及資料的披露,文件及资料的披露,discovery
關於……三合會社團的……字據,关于……三合会社团的……字据,writings ... relating to ... triad society
罪案重演的錄像證據,罪案重演的录像证据,video reconstruction evidence
外聘律師,外聘律师,counsel on fiat
被取消駕駛資格,被取消驾驶资格,disqualification
集團式罪行,集团式罪行,syndicated offence
企圖妨礙司法公正,企图妨碍司法公正,attempt to pervert the course of public justice
罪犯自新,罪犯自新,rehabilitation of offenders
有犯罪或不誠實意圖而取用電腦,有犯罪或不诚实意图而取用电脑,access to computer with criminal or dishonest intent
辯方證據,辩方证据,defence evidence
精神科醫生報告,精神科医生报告,psychiatric report
認罪答辯,认罪答辩,guilty plea
棄置財產,弃置财产,abandoned property
推定條文,推定条文,deeming provision
合理的人的標準,合理的人的标准,reasonable man standard
不在犯罪現場的通知,不在犯罪现场的通知,notice of alibi
交付偽製流通紙幣,交付伪制流通纸币,deliver counterfeit currency notes
按彌償基準計算的訟費,按弥偿基准计算的讼费,costs on an indemnity basis
合理懷疑,合理怀疑,reasonable suspicion
定額款項命令,定额款项命令,fixed sum order
經指引後作出的裁決,经指引后作出的裁决,directed verdict
合併控罪,合并控罪,joinder of charges
陪審團退庭商議,陪审团退庭商议,jury retirement
案件的基礎事實,案件的基础事实,primary facts of the case
沒有好的成功機會的上訴案件,没有好的成功机会的上诉案件,unmeritorious appeal
捏造事實,捏造事实,concoction
良好品格指引,良好品格指引,good character direction
舉報人,举报人,informer
當前爭議問題,当前争议问题,live issue
傳聞證據,传闻证据,hearsay evidence
訊問證人,讯问证人,examination of witnesses
不在犯罪現場的證據,不在犯罪现场的证据,alibi evidence
具說服力的證據,具说服力的证据,compelling evidence
合理的旁觀者,合理的旁观者,reasonable bystander
沒有支持的證據,没有支持的证据,unsupported evidence
不利的決定,不利的决定,adverse decision
主要案例,主要案例,leading case
串謀作出傾向並意圖妨礙司法公正的作為,串谋作出倾向并意图妨碍司法公正的作为,conspiracy to do an act or acts tending and intended to pervert the course of public justice
全面和公平的審訊,全面和公平的审讯,full and fair trial
及早認罪,及早认罪,early plea
一般合理及誠實人的客觀標準,一般合理及诚实人的客观标准,the ordinary objective standards of reasonable and honest people
法律指引,法律指引,direction of law
刑事訟案及事宜,刑事讼案及事宜,criminal causes and matters
禁制,禁制,debar
阻止屍體被合法及適當地埋葬,阻止尸体被合法及适当地埋葬,prevention of the lawful and decent burial of a corpse
檢控證據,检控证据,prosecution evidence
整體犯罪行為,整体犯罪行为,overall criminality
對辯式訴訟的司法制度,对辩式诉讼的司法制度,adversarial system of justice
否認控罪,否认控罪,plea of not guilty
弱智,弱智,mental handicap
當庭宣判的裁決,当庭宣判的裁决,extempore judgment
故意冒充,故意冒充,wilfully pretends
嚴重程序錯誤,严重程序错误,grave procedural error
多次犯入屋犯法罪,多次犯入屋犯法罪,multiple burglaries
證據前後不符,证据前后不符,discrepancy in evidence
模稜兩可及意義不明的認罪,模棱两可及意义不明的认罪,equivocal plea
“割喉式”辯護,“割喉式”辩护,cut-throat defence
藉公職作出不當行為,藉公职作出不当行为,misconduct in public office
推論,推论,inference
上訴許可申請,上诉许可申请,application for leave to appeal
放棄上訴通知,放弃上诉通知,notice of abandonment
潛在風險的因素,潜在风险的因素,latent risk factor
證據上的空隙,证据上的空隙,lacuna in the evidence
有合理理由相信,有合理理由相信,reasonable belief
宣布判決……的理由,宣布判决……的理由,handing down reasons for judgment
宵禁令,宵禁令,curfew order
免導致自己或配偶入罪的特權,免导致自己或配偶入罪的特权,privilege against incrimination of self or spouse
襲擊他人致造成身體傷害,袭击他人致造成身体伤害,assault occasioning actual bodily harm
施用藥物以獲得……非法的性行為,施用药物以获得……非法的性行为,administering drugs to obtain ... unlawful sexual act
司法中立,司法中立,judicial neutrality
保留剩餘監督權,保留剩余监督权,retaining residual supervision
牽連罪責的證據,牵连罪责的证据,inculpatory evidence
登錄不認罪的答辯,登录不认罪的答辩,plea of not guilty to be entered
保留剩餘監督權,保留剩余监督权,retaining residual supervision
單方面的聆訊,单方面的聆讯,ex parte hearing
刑事作為,刑事作为,criminal act
店舖盜竊,店铺盗窃,shoplifting
是否相關的標準,是否相关的标准,test of relevance
保留剩餘監督權,保留剩余监督权,retaining residual supervision
獨立而公正的證人,独立而公正的证人,independent and impartial witness
懲罰性條文嚴格釋義,惩罚性条文严格释义,strict interpretation of penal provision
法庭定罪,法庭定罪,court conviction
刑事化,刑事化,criminalise
經營不道德場所,经营不道德场所,keeping a disorderly house
法官加入戰團,法官加入战团,judge entering the arena
判詞,判词,judgment
刑事恐嚇,刑事恐吓,criminal intimidation
較下級法院,较下级法院,lower court
比重的問題,比重的问题,matter of weight
選擇不援引證據,选择不援引证据,elects not to adduce evidence
企圖從合法羈押逃脫,企图从合法羁押逃脱,attempt to escape from lawful custody
不認罪,不认罪,reversal of plea
執行公義,执行公义,administration of justice
企圖妨礙司法公正,企图妨碍司法公正,attempt to pervert the course of public justice
寬免……法律責任,宽免……法律责任,exonerate ... from liability
牽連罪責部分,牵连罪责部分,incriminating part
外聘律師,外聘律师,counsel on fiat
是客觀地合理的,是客观地合理的,objectively reasonable
證據的關鍵性,证据的关键性,materiality of the evidence
不誠實地意圖導致他人蒙受損失,不诚实地意图导致他人蒙受损失,dishonest intent to cause loss to another
審前的報道,审前的报道,pre-trial publicity
法律責任,法律责任,legal burden
書面回應綱要,书面回应纲要,written skeleton reply
代表性的控罪,代表性的控罪,sample charge
證據分量,证据分量,weight of evidence
不良品格的……證據,不良品格的……证据,evidence of bad character
案例被推翻,案例被推翻,case reversed
當庭宣判的裁決,当庭宣判的裁决,extempore judgment
損失時間,损失时间,loss of time
申請覆核刑罰,申请复核刑罚,application ... for review of sentence
阻止屍體被合法及適當地埋葬,阻止尸体被合法及适当地埋葬,prevention of the lawful and decent burial of a corpse
串謀在賭博時作弊,串谋在赌博时作弊,conspiracy to cheat at gambling
所涉的爭論點,所涉的争论点,issues involved
蓄意編造的謊言,蓄意编造的谎言,deliberate lie
獲法院證明的問題,获法院证明的问题,certified question
犯罪元素,犯罪元素,ingredient of offence
刑事恐嚇,刑事恐吓,criminal intimidation
司法人員培訓委員會標準指引,司法人员培训委员会标准指引,standard Judicial Studies Board direction
在道路上作出狂暴行為,在道路上作出狂暴行为,road rage
全面和公平的審訊,全面和公平的审讯,full and fair trial
清白動機,清白动机,innocent motive
刑期起點,刑期起点,starting point of sentence
覆核刑罰,复核刑罚,review of sentence
整體罪行,整体罪行,overall criminality
技術性問題,技术性问题,technicality
罪行……的嚴重程度,罪行……的严重程度,gravity of the offence
援引……證據,援引……证据,adduce evidence
“戲子”,“戏子”,actor in identification parade
不能共存,不能共存,mutually exclusive
串謀詐騙罪,串谋诈骗罪,conspiracy to defraud
固有的不可能性,固有的不可能性,inherent improbability
合理審慎者的標準,合理审慎者的标准,the standard of the reasonable prudent man
判處即時監禁,判处即时监禁,immediate custodial sentence
整體罪行刑責,整体罪行刑责,total criminality of offence
訊問證人,讯问证人,examination of witnesses
兒童證人的作證資格,儿童证人的作证资格,competency of a child witness
整體刑期的原則,整体刑期的原则,the totality principle
以虛假藉口促致他人作非法的性行為,以虚假借口促致他人作非法的性行为,procurement by false pretences
案例獲得確認,案例获得确认,case affirmed
單獨主審的法官,单独主审的法官,single judge
同案被告人,同案被告人,co-defendant
待決的法律程序,待决的法律程序,pending proceedings
明顯過重,明显过重,manifestly excessive
關鍵證人,关键证人,material witness
從犯法律責任,从犯法律责任,accessorial liability
判處刑罰證明書,判处刑罚证明书,certificate of sentence
從事實上作一個可推翻的假定,从事实上作一个可推翻的假定,rebuttable presumption of facts
證據上的……衝突,证据上的……冲突,conflict of evidence
越級上訴,越级上诉,leapfrog appeal
上訴許可申請,上诉许可申请,application for leave to appeal
案件呈述,案件呈述,case stated
控罪不得包含多項罪行的原則,控罪不得包含多项罪行的原则,rule against duplicity
推論被告有罪,推论被告有罪,inference of guilt
明示或默然同意,明示或默然同意,expressly or tacitly agreed
共同控罪,共同控罪,joint charge
封閉令,封闭令,closure order
提堂,提堂,mention
控方重開案件提證,控方重开案件提证,re-open the prosecution case
猖獗程度,猖獗程度,prevalence
關於法院慣例的規則,关于法院惯例的规则,rule of practice
於案發後不久被發現管有贓物的法律原則,于案发后不久被发现管有赃物的法律原则,doctrine of recent possession
短暫、嚴峻、震驚的刑罰,短暂、严峻、震惊的刑罚,"short, sharp, shock treatment"
總刑期,总刑期,overall sentence
串謀促致年齡在21歲以下的女童與人非法性交,串谋促致年龄在21岁以下的女童与人非法性交,conspiracy to procure girls under 21 to have unlawful sexual intercourse
單獨一項作為或一連串作為,单独一项作为或一连串作为,a single act or series of acts
用以恢復記憶的文件,用以恢复记忆的文件,document used ... to refresh ... memory
附帶權力,附带权力,ancillary powers
不存偏見且得到妥善指引的陪審團,不存偏见且得到妥善指引的陪审团,unprejudiced jury properly directed
部分分期執行的刑期,部分分期执行的刑期,partially consecutive sentences
有關管有和知悉的推定,有关管有和知悉的推定,presumption relating to possession and knowledge
裁決,裁决,verdict
保留法律問題待上訴法庭考慮,保留法律问题待上诉法庭考虑,reserve question of law for consideration of Court of Appeal
是否相關的標準,是否相关的标准,test of relevance
辯方,辩方,defence
引用,引用,invoke
申請查閱對方準備呈堂的文件及證物表,申请查阅对方准备呈堂的文件及证物表,discovery
補償令,补偿令,compensation order
總體刑期,总体刑期,overall length of sentence
集團式罪行,集团式罪行,syndicated offence
享有特權和備受信任的地位,享有特权和备受信任的地位,privileged and trusted position
辨認在犯人欄內的被告,辨认在犯人栏内的被告,dock identification
相關因素,相关因素,relevant factor
牽連罪責的招認,牵连罪责的招认,incriminating admission
言行舉止,言行举止,demeanour
判刑差異,判刑差异,disparity in sentence
審理上訴的法官,审理上诉的法官,appellate judge
事實,事实,de facto
被取消駕駛資格,被取消驾驶资格,disqualification
兒童證人的作證資格,儿童证人的作证资格,competency of a child witness
不可推翻的推論,不可推翻的推论,irrebuttable inference
合併控罪書,合并控罪书,consolidated charge sheet
劃線字/斜體字/粗體字為強調部分,划线字/斜体字/粗体字为强调部分,emphasis supplied
司機的謹慎和審慎程度,司机的谨慎和审慎程度,care and prudence of driver
激怒,激怒,provocation
關鍵性的修改,关键性的修改,material amendment
干擾或干預,干扰或干预,tampered or interfered with
相互提供司法協助,相互提供司法协助,mutual judicial assistance
知情的旁觀者,知情的旁观者,informed bystander
作出有違公德的行為,作出有违公德的行为,commit an act outraging public decency
在法院以外作出的陳述,在法院以外作出的陈述,out-of-court statement
申請保釋等候上訴,申请保释等候上诉,application for bail pending appeal
指紋證據,指纹证据,fingerprint evidence
法官規程,法官规程,Judges' Rules
接納為證據,接纳为证据,admitted in evidence
倒轉舉證責任,倒转举证责任,reversing onus of proof
整體罪行嚴重性,整体罪行严重性,total criminality of offence
對辯式審訊,对辩式审讯,adversarial trial
判刑時須考慮的事宜,判刑时须考虑的事宜,sentencing considerations
正式承認有罪,正式承认有罪,formal admission of guilt
取消駕駛資格令,取消驾驶资格令,disqualification order
答辯人,答辩人,respondent
已裁決的問題不容推翻的原則,已裁决的问题不容推翻的原则,doctrine of issue estoppel
可公訴罪行,可公诉罪行,indictable offence
誠實地相信,诚实地相信,honest belief
即時監禁刑罰,即时监禁刑罚,immediate custodial sentence
援引案例,援引案例,citation of case
不服定罪的上訴,不服定罪的上诉,appeal against conviction
可公訴罪行,可公诉罪行,indictable offence
中級上訴,中级上诉,intermediate appeal
無辜理由,无辜理由,innocent reason
補錄口供,补录口供,post-recorded statement
無損權益的陳述,无损权益的陈述,non-prejudicial statement
免導致自己或配偶入罪的特權,免导致自己或配偶入罪的特权,privilege against incrimination of self or spouse
申請剔除上訴通知書,申请剔除上诉通知书,application to strike out notice of appeal
監禁管敎場所,监禁管教场所,penal institution
真誠地相信,真诚地相信,honest belief
刑事罪責,刑事罪责,criminal culpability
混合書面供詞,混合书面供词,mixed deposition
關鍵性的修改,关键性的修改,material amendment
舉證責任在於控方,举证责任在于控方,burden on prosecution
判刑程序,判刑程序,sentencing procedure
陪審團的裁決,陪审团的裁决,jury verdict
輔助證據,辅助证据,supporting evidence
特定意圖,特定意图,specific intent
較輕的判刑選擇,较轻的判刑选择,softer option
缺乏理據的上訴,缺乏理据的上诉,unmeritorious appeal
經證實的謊言,经证实的谎言,proved lie
獨立無私之法定管轄法庭,独立无私之法定管辖法庭,"competent, independent and impartial tribunal"
犯罪意圖,犯罪意图,criminal intent
犯罪意識,犯罪意识,guilty mind
令……變為無效,令……变为无效,nullify
具高度證案價值的證據,具高度证案价值的证据,highly probative evidence
指引量刑,指引量刑,guideline tariffs
作出傾向並意圖妨礙司法公正的作為,作出倾向并意图妨碍司法公正的作为,doing an act tending and intended to pervert the course of public justice
簽保命令,签保命令,bind-over order
整體刑期,整体刑期,overall sentence
代表性的控罪,代表性的控罪,sample charge
懲罰性刑罰,惩罚性刑罚,punitive sentence
公職人員行為失當,公职人员行为失当,misconduct in public office
屬宣布性質的……命令,属宣布性质的……命令,declaratory ... order
精神病,精神病,disease of the mind
偏離慣常減刑,偏离惯常减刑,departure from customary discount
例外罪行,例外罪行,excepted offence
不一致的證供,不一致的证供,inconsistent testimony
犯罪傾向指引,犯罪倾向指引,propensity direction
正面的良好品格,正面的良好品格,positive good character
不爭事實,不争事实,facts not in dispute
串謀將人強行帶走或禁錮而意圖取得贖金,串谋将人强行带走或禁锢而意图取得赎金,conspiracy to forcibly take away or detain a person with intent to procure a ransom
臥底,卧底,agent provocateur
整體刑期的原則,整体刑期的原则,the totality principle
有理據的申請,有理据的申请,meritorious application
撤銷控罪,撤销控罪,dismiss the charge
將串謀[計劃]付諸實行,将串谋[计划]付诸实行,in furtherance of the conspiracy
一系列相關的典據,一系列相关的典据,line of authorities
證據薄弱,证据薄弱,tenuous evidence
絕對刑責的罪行,绝对刑责的罪行,absolute offence
誠實可靠的證人,诚实可靠的证人,truthful and reliable witness
錯誤的辨認,错误的辨认,mistaken identification
法例條文,法例条文,statutory provision
判刑起點,判刑起点,starting point
唯一合理推斷,唯一合理推断,the only reasonable inference
錄影紀錄證據,录影纪录证据,video recorded evidence
作出傾向並意圖妨礙司法公正的作為,作出倾向并意图妨碍司法公正的作为,doing an act tending and intended to pervert the course of public justice
就被告辯稱不在犯罪現場所作的指引,就被告辩称不在犯罪现场所作的指引,alibi direction
倒轉舉證責任,倒转举证责任,reversing onus of proof
辯方訟費,辩方讼费,defence costs
以口頭方式……提供證據,以口头方式……提供证据,give evidence ... viva voce
罪行……的嚴重程度,罪行……的严重程度,gravity of the offence
境外司法管轄權,境外司法管辖权,extra-territorial jurisdiction
懲罰性判刑,惩罚性判刑,exemplary sentence
入院令,入院令,hospital order
簽保,签保,bind over
拘捕人員,拘捕人员,arresting officer
表面證據,表面证据,prima facie case
將案件發還……處理,将案件发还……处理,remit the case
簽保命令,签保命令,bind-over order
混合藥物,混合药物,cocktail drug
主要的成因,主要的成因,operative cause
已為人接受的通常做法,已为人接受的通常做法,accepted norm
削減可扣減的刑期,削减可扣减的刑期,reduced discount
犯罪手法,犯罪手法,modus operandi
多項罪行的控罪,多项罪行的控罪,duplicity of charge
有合理的定罪機會,有合理的定罪机会,reasonable prospect of a conviction
申訴人,申诉人,complainant
上訴文件冊,上诉文件册,appeal bundles
警誡口供,警诫口供,cautioned statement
洗黑錢,洗黑钱,money laundering
刑事司法體系,刑事司法体系,criminal justice system
證據上的效力,证据上的效力,evidential effect
個別的刑期,个别的刑期,length of each individual sentence
分歧的解決方法,分歧的解决方法,resolution of differences
定罪是否恰當問題,定罪是否恰当问题,propriety of conviction
法定罪行,法定罪行,statutory offence
法律推定的條文,法律推定的条文,presumption provision
用以支持的證據,用以支持的证据,supporting evidence
開脫罪責的供詞,开脱罪责的供词,exculpatory statement
申請司法覆核的許可,申请司法复核的许可,application for leave to apply for judicial review
已承認的謊言,已承认的谎言,admitted lie
刑事訟案及事宜,刑事讼案及事宜,criminal causes and matters
自願供詞,自愿供词,voluntary statement
認出……的證據,认出……的证据,recognition evidence
慣犯,惯犯,recidivist
證供責任,证供责任,evidential burden
實際使用暴力,实际使用暴力,actual violence
瑣屑無聊或無理纏擾,琐屑无聊或无理缠扰,frivolous or vexatious
判處刑罰證明書,判处刑罚证明书,certificate of sentence
整體量刑原則,整体量刑原则,the totality principle
法律構定的管有,法律构定的管有,constructive possession
合理辯解,合理辩解,reasonable excuse
有犯罪或不誠實意圖而取用電腦,有犯罪或不诚实意图而取用电脑,access to computer with criminal or dishonest intent
判刑前的報告,判刑前的报告,pre-sentencing report
法外開恩,法外开恩,temper justice with mercy
合格而謹慎的駕駛人,合格而谨慎的驾驶人,competent and careful driver
執行緩刑,执行缓刑,activate a suspended sentence
完備上訴理由書,完备上诉理由书,perfected grounds of appeal
存疑裁決,存疑裁决,open verdict
在案發期間,在案发期间,at all material times
無不軌意圖,无不轨意图,innocent belief
意見證據,意见证据,opinion evidence
有力的求情因素,有力的求情因素,strong mitigating circumstances
隱含危機,隐含危机,latent risk
保釋金,保释金,bail
循公訴程序,循公诉程序,on indictment
刑責程度,刑责程度,level of criminality
犯罪計劃,犯罪计划,criminal enterprise
量刑基礎,量刑基础,basis for sentencing
關於……三合會社團的……字據,关于……三合会社团的……字据,writings ... relating to ... triad society
主要陳詞,主要陈词,principal submission
不可被強迫作證,不可被强迫作证,not compellable to give evidence
宣告裁決,宣告裁决,delivery of verdict
評定是否知情的標準,评定是否知情的标准,test of knowledge
行政酌情決定,行政酌情决定,executive discretion
犯罪的精神上行為能力,犯罪的精神上行为能力,mental capacity to commit offence
以目辨認,以目辨认,visual identification
互相矛盾的事實陳述,互相矛盾的事实陈述,contradictory statements of fact
簡易罪行,简易罪行,summary offence
免使自己入罪的原則,免使自己入罪的原则,principle against self-incrimination
沒有爭議的案情,没有争议的案情,undisputed facts
更生改造,更生改造,rehabilitative treatment
不在犯罪現場的通知,不在犯罪现场的通知,notice of alibi
用以支持的證據,用以支持的证据,supporting evidence
[案件的]一般爭論點,[案件的]一般争论点,general issue
共同證人,共同证人,common witness
單獨管有或共同管有,单独管有或共同管有,exclusive possession or joint possession
控罪,控罪,charges
有資格作證的人,有资格作证的人,competent witness
理智及思想正常的人,理智及思想正常的人,sensible and right-minded people
相互提供司法協助,相互提供司法协助,mutual judicial assistance
犯罪獲益,犯罪获益,criminal gains
法律上的細節,法律上的细节,legal technicality
阻嚇性刑罰,阻吓性刑罚,deterrent sentence
有犯罪或不誠實意圖而取用電腦,有犯罪或不诚实意图而取用电脑,access to computer with criminal or dishonest intent
定罪紀錄,定罪纪录,conviction record
造成偏見的資料,造成偏见的资料,prejudicial material
有合理的定罪機會,有合理的定罪机会,reasonable prospect of a conviction
擬檢控通知書,拟检控通知书,notice of intention to prosecute
從事實上作一個可推翻的假定,从事实上作一个可推翻的假定,rebuttable presumption of facts
特級線人,特级线人,supergrass
會導致入罪的證據,会导致入罪的证据,incriminating evidence
混合藥物,混合药物,cocktail drug
基礎事實,基础事实,primary facts
宣布一項判決,宣布一项判决,handing down a judgment
法律推定,法律推定,legal presumption
無律師代表[親自應訊],无律师代表[亲自应讯],in person
證據前後不符,证据前后不符,discrepancy in evidence
審理上訴的法官,审理上诉的法官,appellate judge
相稱的原則,相称的原则,principle of proportionality
虛假證據,虚假证据,false evidence
未經使用的材料,未经使用的材料,unused material
串謀促致年齡在21歲以下的女童與人非法性交,串谋促致年龄在21岁以下的女童与人非法性交,conspiracy to procure girls under 21 to have unlawful sexual intercourse
自簽擔保……以保證遵守法紀,自签担保……以保证遵守法纪,bind over to keep the peace ... his own recognizances
上訴許可申請,上诉许可申请,application for leave to appeal
從犯,从犯,accomplice
以不在犯罪現場為辯護理由,以不在犯罪现场为辩护理由,defence of alibi
將……的判刑與……的量刑基準掛鈎,将……的判刑与……的量刑基准挂钩,sentence for ... be pegged to tariffs for ...
受人信任的位置,受人信任的位置,position of trust
挽回損失,挽回损失,recoup the loss
罪加一等,罪加一等,aggravation of crime
公訴,公诉,indictment
簡易司法管轄權,简易司法管辖权,summary jurisdiction
反向的舉證責任,反向的举证责任,reverse burden
三分一刑期減免,三分一刑期减免,discount of 1/3
罪案重演的錄像證據,罪案重演的录像证据,video reconstruction evidence
量刑因素,量刑因素,sentencing factor
改變答辯,改变答辩,reversal of plea
對訟式刑事司法體系,对讼式刑事司法体系,adversarial system of criminal justice
具欺詐成分的失實陳述,具欺诈成分的失实陈述,fraudulent misrepresentation
串謀作出有違公德的行為,串谋作出有违公德的行为,conspiracy to outrage public decency
不存偏見且得到妥善指引的陪審團,不存偏见且得到妥善指引的陪审团,unprejudiced jury properly directed
警誡口供,警诫口供,cautioned statement
交出令,交出令,production order
